product_id,symbol,base_min_size(最小交易量),base_increment(交易货币精度),quote_increment(计价货币精度)
271,nas_eth,0.1,0.00010000,0.00000001
272,nas_usdt,0.1,0.00010000,0.00010000
273,rnt_btc,10,0.01000000,0.00000001
274,rnt_eth,10,0.01000000,0.00000001
275,rnt_usdt,10,0.01000000,0.00010000
276,wrc_btc,10,0.01000000,0.00000001
277,wrc_eth,10,0.01000000,0.00000001
278,wrc_usdt,10,0.01000000,0.00010000
279,ukg_btc,1,0.00100000,0.00000001
280,ukg_eth,1,0.00100000,0.00000001
281,ukg_usdt,1,0.00100000,0.00010000
282,ugc_btc,10,0.01000000,0.00000001
283,ugc_eth,10,0.01000000,0.00000001
284,ugc_usdt,10,0.01000000,0.00010000
285,dpy_btc,1,0.00100000,0.00000001
286,dpy_eth,1,0.00100000,0.00000001
287,dpy_usdt,1,0.00100000,0.00010000
288,read_btc,10,0.01000000,0.00000001
289,read_eth,10,0.01000000,0.00000001
290,read_usdt,10,0.01000000,0.00010000
291,ssc_btc,10,0.01000000,0.00000001
292,ssc_eth,10,0.01000000,0.00000001
293,ssc_usdt,10,0.01000000,0.00010000
294,aac_btc,10,0.01000000,0.00000001
296,fair_btc,10,0.01000000,0.00000001
297,aac_eth,10,0.01000000,0.00000001
299,aac_usdt,10,0.01000000,0.00010000
301,fair_eth,10,0.01000000,0.00000001
302,fair_usdt,10,0.01000000,0.00010000
303,ubtc_btc,0.1,0.00010000,0.00000001
304,ubtc_eth,0.1,0.00010000,0.00000001
305,ubtc_usdt,0.1,0.00010000,0.00010000
306,cag_btc,1,0.00100000,0.00000001
307,cag_eth,1,0.00100000,0.00000001
308,cag_usdt,1,0.00100000,0.00010000
309,dna_btc,1,0.00100000,0.00000001
310,lend_btc,10,0.01000000,0.00000001
311,lend_eth,10,0.01000000,0.00000001
312,dna_eth,1,0.00100000,0.00000001
313,lend_usdt,10,0.01000000,0.00010000
314,dna_usdt,1,0.00100000,0.00010000
315,rct_btc,10,0.01000000,0.00000001
316,rct_eth,10,0.01000000,0.00000001
317,rct_usdt,10,0.01000000,0.00010000
318,bch_eth,0.001,0.00000001,0.00000001
319,show_btc,10,0.10000000,0.00000001
320,show_eth,10,0.10000000,0.00000001
321,show_usdt,10,0.10000000,0.00010000
322,vib_btc,1,0.00100000,0.00000001
323,vib_eth,1,0.00100000,0.00000001
324,vib_usdt,1,0.00100000,0.00010000
325,mot_btc,1,0.00100000,0.00000001
