product_id,symbol,min_trade_size(最小交易量),quote_increment(计价货币精度),base_increment(交易货币精度)
163,rcn_btc,10,0.00000001,0.01000000
164,mana_eth,10,0.00000001,0.01000000
165,mana_usdt,10,0.00010000,0.01000000
169,tnb_btc,10,0.00000001,0.01000000
170,tnb_eth,10,0.00000001,0.01000000
171,tnb_usdt,10,0.00010000,0.01000000
175,knc_btc,1,0.00000001,0.00100000
176,knc_eth,1,0.00000001,0.00100000
177,knc_usdt,1,0.00010000,0.00100000
181,gnx_btc,1,0.00000001,0.00100000
182,gnx_eth,1,0.00000001,0.00100000
183,gnx_usdt,1,0.00010000,0.00100000
184,icx_btc,0.1,0.00000001,0.00010000
185,icx_eth,0.1,0.00000001,0.00010000
186,icx_usdt,0.1,0.00010000,0.00010000
187,ark_btc,0.1,0.00000001,0.00010000
188,ark_eth,0.1,0.00000001,0.00010000
189,ark_usdt,0.1,0.00010000,0.00010000
190,yoyo_btc,10,0.00000001,0.01000000
191,yoyo_eth,10,0.00000001,0.01000000
192,yoyo_usdt,10,0.00010000,0.01000000
196,elf_eth,1,0.00000001,0.00100000
197,elf_btc,1,0.00000001,0.00100000
198,elf_usdt,1,0.00010000,0.00100000
199,ast_btc,1,0.00000001,0.00100000
200,ast_eth,1,0.00000001,0.00100000
201,ast_usdt,1,0.00010000,0.00100000
202,sub_btc,1,0.00000001,0.00100000
203,sub_eth,1,0.00000001,0.00100000
204,sub_usdt,1,0.00010000,0.00100000
205,dnt_btc,10,0.00000001,0.01000000
206,dnt_eth,10,0.00000001,0.01000000
207,dnt_usdt,10,0.00010000,0.01000000
208,fun_btc,10,0.00000001,0.01000000
209,fun_eth,10,0.00000001,0.01000000
210,fun_usdt,10,0.00010000,0.01000000
214,trx_btc,10,0.00000001,0.01000000
215,trx_eth,10,0.00000001,0.01000000
216,trx_usdt,10,0.00010000,0.01000000
217,evx_btc,1,0.00000001,0.00100000
218,evx_eth,0.1,0.00000001,0.00010000
219,evx_usdt,1,0.00010000,0.00100000
220,mda_btc,1,0.00000001,0.00100000
221,mda_eth,1,0.00000001,0.00100000
222,mda_usdt,1,0.00010000,0.00100000
223,mth_btc,10,0.00000001,0.01000000
224,mth_eth,10,0.00000001,0.01000000
225,mth_usdt,10,0.00010000,0.01000000
226,mtl_btc,0.1,0.00000001,0.00010000
227,mtl_eth,0.1,0.00000001,0.00010000
228,mtl_usdt,0.1,0.00010000,0.00010000
229,xem_btc,1,0.00000001,0.00100000
230,xem_eth,1,0.00000001,0.00100000
231,xem_usdt,1,0.00010000,0.00100000
232,icn_btc,1,0.00000001,0.00100000
233,icn_eth,1,0.00000001,0.00100000
234,icn_usdt,1,0.00010000,0.00100000
235,eng_btc,0.1,0.00000001,0.00010000
237,oax_btc,1,0.00000001,0.00100000
238,dgb_btc,10,0.00000001,0.01000000
239,ppt_btc,0.01,0.00000001,0.00001000
240,dgb_eth,10,0.00000001,0.01000000
241,dgb_usdt,10,0.00010000,0.01000000
242,ppt_eth,0.01,0.00000001,0.00001000
243,ppt_usdt,0.01,0.00010000,0.00001000
244,oax_eth,1,0.00000001,0.00100000
245,oax_usdt,1,0.00010000,0.00100000
248,eng_eth,0.1,0.00000001,0.00010000
249,eng_usdt,0.1,0.00010000,0.00010000
250,rcn_eth,10,0.00000001,0.01000000
251,rcn_usdt,10,0.00010000,0.01000000
252,swftc_btc,10,0.00000001,0.10000000
253,swftc_eth,10,0.00000001,0.10000000
254,swftc_usdt,10,0.00010000,0.10000000
255,rdn_btc,0.1,0.00000001,0.00010000
256,rdn_eth,0.1,0.00000001,0.00010000
257,rdn_usdt,0.1,0.00010000,0.00010000
258,xmr_btc,0.001,0.00000001,0.00000100
259,xmr_eth,0.001,0.00000001,0.00000100
260,xmr_usdt,0.001,0.00010000,0.00000100
261,xlm_btc,1,0.00000001,0.00100000
262,xlm_eth,1,0.00000001,0.00100000
263,xlm_usdt,1,0.00010000,0.00100000
264,kcash_btc,10,0.00000001,0.01000000
265,kcash_eth,10,0.00000001,0.01000000
266,kcash_usdt,10,0.00010000,0.01000000
267,mdt_btc,10,0.00000001,0.01000000
268,mdt_eth,10,0.00000001,0.01000000
269,mdt_usdt,10,0.00010000,0.01000000
270,nas_btc,0.1,0.00000001,0.00010000
271,nas_eth,0.1,0.00000001,0.00010000
272,nas_usdt,0.1,0.00010000,0.00010000
273,rnt_btc,10,0.00000001,0.01000000
274,rnt_eth,10,0.00000001,0.01000000
275,rnt_usdt,10,0.00010000,0.01000000
285,dpy_btc,1,0.00000001,0.00100000
286,dpy_eth,1,0.00000001,0.00100000
287,dpy_usdt,1,0.00010000,0.00100000
291,ssc_btc,10,0.00000001,0.01000000
292,ssc_eth,10,0.00000001,0.01000000
293,ssc_usdt,10,0.00010000,0.01000000
295,smt_btc,10,0.00000001,0.01000000
298,smt_eth,10,0.00000001,0.01000000
300,smt_usdt,10,0.00010000,0.01000000
309,dna_btc,1,0.00000001,0.00100000
312,dna_eth,1,0.00000001,0.00100000
314,dna_usdt,1,0.00010000,0.00100000
318,bch_eth,0.001,0.00000001,0.00000001
322,vib_btc,1,0.00000001,0.00100000
323,vib_eth,1,0.00000001,0.00100000
324,vib_usdt,1,0.00010000,0.00100000
334,topc_btc,10,0.00000001,0.01000000
335,topc_eth,10,0.00000001,0.01000000
337,topc_usdt,10,0.00010000,0.01000000
338,qun_btc,10,0.00000001,0.01000000
340,qun_eth,10,0.00000001,0.01000000
341,qun_usdt,10,0.00010000,0.01000000
345,ost_btc,1,0.00000001,0.00100000
347,ost_eth,1,0.00000001,0.00100000
348,ost_usdt,1,0.00010000,0.00100000
349,aidoc_btc,10,0.00000001,0.01000000
350,aidoc_eth,10,0.00000001,0.01000000
351,aidoc_usdt,10,0.00010000,0.01000000
352,int_btc,10,0.00000001,0.01000000
356,int_eth,10,0.00000001,0.01000000
357,int_usdt,10,0.00010000,0.01000000
358,ipc_btc,1,0.00000001,0.00100000
359,ipc_eth,1,0.00000001,0.00100000
