现货全部币对下单精度
symbol,quote_increment
ssc_eth,0.00000001
ssc_usdt,0.0001
aac_btc,0.00000001
fair_btc,0.00000001
aac_eth,0.00000001
aac_usdt,0.0001
fair_eth,0.00000001
fair_usdt,0.0001
ubtc_btc,0.00000001
ubtc_eth,0.00000001
ubtc_usdt,0.0001
cag_btc,0.00000001
cag_eth,0.00000001
cag_usdt,0.0001
dna_btc,0.00000001
lend_btc,0.00000001
lend_eth,0.00000001
dna_eth,0.00000001
lend_usdt,0.0001
dna_usdt,0.0001
rct_btc,0.00000001
rct_eth,0.00000001
rct_usdt,0.0001
bch_eth,0.00000001
show_btc,0.00000001
show_eth,0.00000001
show_usdt,0.0001
vib_btc,0.00000001
vib_eth,0.00000001
vib_usdt,0.0001
mot_btc,0.00000001
mot_eth,0.00000001
mot_usdt,0.0001
utk_btc,0.00000001
utk_eth,0.00000001
utk_usdt,0.0001
mag_btc,0.00000001
mag_eth,0.00000001
mag_usdt,0.0001
topc_btc,0.00000001
topc_eth,0.00000001
brd_btc,0.00000001
topc_usdt,0.0001
qun_btc,0.00000001
brd_eth,0.00000001
qun_eth,0.00000001
qun_usdt,0.0001
brd_usdt,0.0001
viu_btc,0.00000001
viu_eth,0.00000001
ost_btc,0.00000001
viu_usdt,0.0001
ost_eth,0.00000001
ost_usdt,0.0001
aidoc_btc,0.00000001
aidoc_eth,0.00000001
aidoc_usdt,0.0001
int_btc,0.00000001
la_btc,0.00000001
la_eth,0.00000001
la_usdt,0.0001
int_eth,0.00000001
int_usdt,0.0001
ipc_btc,0.00000001
ipc_eth,0.00000001
ipc_usdt,0.0001
ngc_btc,0.00000001
ngc_eth,0.00000001
ngc_usdt,0.0001
tio_btc,0.00000001
tio_eth,0.00000001
tio_usdt,0.0001
iost_btc,0.00000001
iost_eth,0.00000001
iost_usdt,0.0001
poe_btc,0.00000001
poe_eth,0.00000001
poe_usdt,0.0001
mof_btc,0.00000001
yee_btc,0.00000001
mof_eth,0.00000001
yee_eth,0.00000001
yee_usdt,0.0001
mof_usdt,0.0001
ins_btc,0.00000001
ins_eth,0.00000001
ins_usdt,0.0001
tct_btc,0.00000001
tct_eth,0.00000001
tct_usdt,0.0001
atl_btc,0.00000001
atl_eth,0.00000001
atl_usdt,0.0001
theta_btc,0.00000001
theta_eth,0.00000001
lev_btc,0.00000001
theta_usdt,0.0001
lev_eth,0.00000001
lev_usdt,0.0001
stc_btc,0.00000001
spf_btc,0.00000001
stc_eth,0.00000001
spf_eth,0.00000001
spf_usdt,0.0001
stc_usdt,0.0001
ref_btc,0.00000001
ref_eth,0.00000001
ref_usdt,0.0001
snc_btc,0.00000001
snc_eth,0.00000001
snc_usdt,0.0001
pst_btc,0.00000001
pst_eth,0.00000001
pst_usdt,0.0001
can_btc,0.00000001
can_eth,0.00000001
can_usdt,0.0001
hot_btc,0.00000001
mkr_btc,0.00000001
mkr_eth,0.00000001
mkr_usdt,0.0001
hot_eth,0.00000001
key_btc,0.00000001
hot_usdt,0.0001
key_eth,0.00000001
key_usdt,0.0001
light_btc,0.00000001
light_eth,0.00000001
light_usdt,0.0001
true_btc,0.00000001
true_eth,0.00000001
true_usdt,0.0001
of_btc,0.00000001
of_eth,0.00000001
of_usdt,0.000001
soc_btc,0.00000001
soc_eth,0.00000001
soc_usdt,0.0001
wbtc_btc,0.00000001
dent_btc,0.00000001
dent_eth,0.00000001
dent_usdt,0.0001
zen_btc,0.00000001
zen_eth,0.00000001
zen_usdt,0.0001
hmc_btc,0.00000001
hmc_eth,0.00000001
hmc_usdt,0.0001
zip_btc,0.00000001
zip_eth,0.00000001
zip_usdt,0.000001
nano_btc,0.00000001
nano_eth,0.00000001
nano_usdt,0.0001
cic_btc,0.00000001
cic_eth,0.00000001
cic_usdt,0.0001
gto_btc,0.00000001
gto_eth,0.00000001
gto_usdt,0.0001
chat_btc,0.00000001
chat_eth,0.00000001
chat_usdt,0.0001
insur_btc,0.00000001
insur_eth,0.00000001
insur_usdt,0.0001
cbt_btc,0.00000001
cbt_eth,0.00000001
cbt_usdt,0.0001
r_btc,0.00000001
r_eth,0.00000001
r_usdt,0.0001
uct_btc,0.00000001
uct_eth,0.00000001
uct_usdt,0.0001
bec_btc,0.00000001
bec_eth,0.00000001
bec_usdt,0.0001
mith_btc,0.00000001
mith_eth,0.00000001
mith_usdt,0.0001
abt_btc,0.00000001
abt_eth,0.00000001
abt_usdt,0.0001
bkx_btc,0.00000001
bkx_eth,0.00000001
bkx_usdt,0.0001
gtc_btc,0.00000001
gtc_eth,0.00000001
gtc_usdt,0.0001
auto_btc,0.00000001
auto_eth,0.00000001
auto_usdt,0.0001
gsc_btc,0.00000001
gsc_eth,0.00000001
gsc_usdt,0.0001
rfr_btc,0.00000001
rfr_eth,0.00000001
rfr_usdt,0.0001
trio_btc,0.00000001
trio_eth,0.00000001
trio_usdt,0.0001
tra_btc,0.00000001
tra_eth,0.00000001
tra_usdt,0.0001
ren_btc,0.00000001
ren_eth,0.00000001
ren_usdt,0.0001
wfee_btc,0.00000001
wfee_eth,0.00000001
wfee_usdt,0.0001
dadi_btc,0.00000001
dadi_eth,0.00000001
dadi_usdt,0.0001
enj_btc,0.00000001
enj_eth,0.00000001
enj_usdt,0.0001
ont_btc,0.00000001
ont_eth,0.00000001
ont_usdt,0.0001
okb_usdt,0.0001
okb_btc,0.00000001
okb_eth,0.00000001
ltc_okb,0.0001
etc_okb,0.0001
bch_okb,0.0001
xrp_okb,0.0001
eos_okb,0.0001
qtum_okb,0.0001
dash_okb,0.0001
neo_okb,0.0001
iota_okb,0.0001
zec_okb,0.0001
ctxc_btc,0.00000001
ctxc_eth,0.00000001
ctxc_usdt,0.0001
zil_btc,0.00000001
zil_eth,0.00000001
zil_usdt,0.0001
you_okb,0.00001
you_btc,0.00000001
you_eth,0.00000001
you_usdt,0.00001
lba_okb,0.0001
lba_btc,0.00000001
lba_eth,0.00000001
lba_usdt,0.0001
ok06ett_usdt,0.0001
cai_okb,0.00001
lsk_btc,0.00000001
lsk_eth,0.00000001
lsk_usdt,0.0001
cai_btc,0.00000001
cai_eth,0.00000001
cai_usdt,0.000001
ae_btc,0.00000001
ae_okb,0.00001
sc_okb,0.00001
kan_okb,0.00001
win_okb,0.00001
sc_eth,0.00000001
sc_btc,0.00000001
sc_usdt,0.0001
ae_eth,0.00000001
ae_usdt,0.0001
kan_btc,0.00000001
kan_eth,0.00000001
kan_usdt,0.00001
win_btc,0.00000001
win_eth,0.00000001
win_usdt,0.00001
ors_okb,0.00001
mvp_okb,0.00001
dcr_okb,0.0001
dcr_btc,0.00000001
dcr_eth,0.00000001
dcr_usdt,0.0001
waves_okb,0.0001
waves_btc,0.00000001
waves_eth,0.00000001
waves_usdt,0.0001
ors_btc,0.00000001
ors_eth,0.00000001
ors_usdt,0.00001
mvp_btc,0.00000001
mvp_eth,0.00000001
mvp_usdt,0.00001
nas_okb,0.00001
xas_okb,0.00001
